split,view,filename,filepath,sharpness,brightness,contrast_std,noise,quality_label,guidance_text,abnormal_flag
train,Aorta,Aorta train (1).jpg,train\Aorta\Aorta train (1).jpg,871.15,38.59,44.73,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (10).jpg,train\Aorta\Aorta train (10).jpg,557.45,58.06,54.41,1.79,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (100).jpg,train\Aorta\Aorta train (100).jpg,648.61,64.0,54.22,1.93,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (101).jpg,train\Aorta\Aorta train (101).jpg,650.34,63.92,54.14,1.94,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (102).jpg,train\Aorta\Aorta train (102).jpg,651.87,63.63,54.11,1.94,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (103).jpg,train\Aorta\Aorta train (103).jpg,675.66,62.42,54.93,1.95,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (104).jpg,train\Aorta\Aorta train (104).jpg,676.07,62.42,55.0,1.95,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (105).jpg,train\Aorta\Aorta train (105).jpg,675.57,62.34,55.03,1.95,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (106).jpg,train\Aorta\Aorta train (106).jpg,674.44,62.25,54.93,1.95,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (107).jpg,train\Aorta\Aorta train (107).jpg,658.53,62.84,54.96,1.91,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (108).jpg,train\Aorta\Aorta train (108).jpg,658.02,62.86,55.0,1.92,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (109).jpg,train\Aorta\Aorta train (109).jpg,657.56,62.69,55.02,1.92,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (11).jpg,train\Aorta\Aorta train (11).jpg,373.61,43.03,44.82,1.29,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (110).jpg,train\Aorta\Aorta train (110).jpg,658.35,62.46,54.82,1.91,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (111).jpg,train\Aorta\Aorta train (111).jpg,658.33,62.18,54.21,1.91,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (112).jpg,train\Aorta\Aorta train (112).jpg,659.14,61.92,54.02,1.92,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (113).jpg,train\Aorta\Aorta train (113).jpg,601.13,59.94,51.38,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (114).jpg,train\Aorta\Aorta train (114).jpg,601.67,59.94,51.51,1.84,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (115).jpg,train\Aorta\Aorta train (115).jpg,576.43,57.33,49.24,1.81,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (116).jpg,train\Aorta\Aorta train (116).jpg,947.1,29.31,38.69,1.68,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (117).jpg,train\Aorta\Aorta train (117).jpg,582.47,78.75,57.0,1.95,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (118).jpg,train\Aorta\Aorta train (118).jpg,583.94,78.55,56.92,1.95,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (119).jpg,train\Aorta\Aorta train (119).jpg,585.32,77.82,56.82,1.95,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (12).jpg,train\Aorta\Aorta train (12).jpg,373.5,42.98,44.96,1.29,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (120).jpg,train\Aorta\Aorta train (120).jpg,585.13,77.68,56.83,1.95,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (121).jpg,train\Aorta\Aorta train (121).jpg,584.72,77.54,56.78,1.95,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (122).jpg,train\Aorta\Aorta train (122).jpg,585.33,77.28,56.69,1.95,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (123).jpg,train\Aorta\Aorta train (123).jpg,585.37,77.06,56.64,1.95,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (124).jpg,train\Aorta\Aorta train (124).jpg,585.14,76.79,56.52,1.95,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (125).jpg,train\Aorta\Aorta train (125).jpg,607.93,77.78,56.84,1.9,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (126).jpg,train\Aorta\Aorta train (126).jpg,1095.66,32.39,37.61,2.11,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (127).jpg,train\Aorta\Aorta train (127).jpg,607.35,48.57,57.13,1.85,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (128).jpg,train\Aorta\Aorta train (128).jpg,606.38,48.4,57.06,1.85,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (129).jpg,train\Aorta\Aorta train (129).jpg,606.77,48.11,56.83,1.85,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (13).jpg,train\Aorta\Aorta train (13).jpg,374.12,42.88,45.08,1.29,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (130).jpg,train\Aorta\Aorta train (130).jpg,606.68,47.96,56.69,1.85,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (131).jpg,train\Aorta\Aorta train (131).jpg,606.23,47.79,56.54,1.85,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (132).jpg,train\Aorta\Aorta train (132).jpg,941.17,51.16,42.96,1.8,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (133).jpg,train\Aorta\Aorta train (133).jpg,957.66,44.61,38.29,1.73,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (134).jpg,train\Aorta\Aorta train (134).jpg,940.68,33.59,38.75,1.72,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (135).jpg,train\Aorta\Aorta train (135).jpg,918.99,48.19,46.23,1.79,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (136).jpg,train\Aorta\Aorta train (136).jpg,941.71,48.02,45.72,1.79,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (137).jpg,train\Aorta\Aorta train (137).jpg,938.49,34.02,42.8,1.73,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (138).jpg,train\Aorta\Aorta train (138).jpg,935.44,34.48,43.16,1.74,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (139).jpg,train\Aorta\Aorta train (139).jpg,868.72,50.71,51.77,1.7,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (14).jpg,train\Aorta\Aorta train (14).jpg,373.4,42.36,45.09,1.29,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (140).jpg,train\Aorta\Aorta train (140).jpg,909.4,44.11,46.94,1.82,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (141).jpg,train\Aorta\Aorta train (141).jpg,907.33,32.54,43.28,1.7,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (142).jpg,train\Aorta\Aorta train (142).jpg,774.4,47.9,41.41,2.11,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (143).jpg,train\Aorta\Aorta train (143).jpg,892.2,24.61,39.12,1.83,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (144).jpg,train\Aorta\Aorta train (144).jpg,609.35,59.67,56.18,1.92,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (145).jpg,train\Aorta\Aorta train (145).jpg,609.8,59.62,56.14,1.92,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (146).jpg,train\Aorta\Aorta train (146).jpg,610.01,59.57,56.07,1.93,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (147).jpg,train\Aorta\Aorta train (147).jpg,913.09,46.44,44.7,1.84,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (148).jpg,train\Aorta\Aorta train (148).jpg,925.31,44.95,44.77,1.84,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (149).jpg,train\Aorta\Aorta train (149).jpg,624.57,83.14,64.63,2.01,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (15).jpg,train\Aorta\Aorta train (15).jpg,373.55,42.14,44.89,1.29,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (150).jpg,train\Aorta\Aorta train (150).jpg,624.87,83.09,64.65,2.02,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (151).jpg,train\Aorta\Aorta train (151).jpg,630.54,80.54,64.47,2.02,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (152).jpg,train\Aorta\Aorta train (152).jpg,629.97,79.7,64.02,2.03,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (153).jpg,train\Aorta\Aorta train (153).jpg,870.44,44.33,43.77,1.76,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (154).jpg,train\Aorta\Aorta train (154).jpg,872.39,44.23,42.84,1.75,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (155).jpg,train\Aorta\Aorta train (155).jpg,865.73,45.16,42.45,1.78,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (156).jpg,train\Aorta\Aorta train (156).jpg,882.52,49.12,48.69,1.76,good,Image quality is good. Proceed with assessment.,0
train,Aorta,Aorta train (157).jpg,train\Aorta\Aorta train (157).jpg,587.25,58.62,57.19,1.93,good,Image quality is good. Proceed with assessment.,0
